套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
HKEC.16A,16,星河型,16,85,3.0,,16.0,,元/小时,1.68,,,,,,,,,,3.0,,,
HKEC.16B,16,星河型,32,85,3.0,,16.0,,元/小时,1.96,,,,,,,,,,3.0,,,
HKEC.16C,16,星河型,64,85,3.0,,16.0,,元/小时,2.52,,,,,,,,,,3.0,,,
HKEC.24A,24,星河型,24,85,3.0,,16.0,,元/小时,2.52,,,,,,,,,,4.0,,,
HKEC.24B,24,星河型,48,85,3.0,,16.0,,元/小时,2.94,,,,,,,,,,4.0,,,
HKEC.24C,24,星河型,96,85,3.0,,16.0,,元/小时,3.78,,,,,,,,,,4.0,,,
HKEC.32A,32,星河型,32,85,5.0,,16.0,,元/小时,3.36,,,,,,,,,,6.0,,,
HKEC.32B,32,星河型,64,85,5.0,,16.0,,元/小时,3.92,,,,,,,,,,6.0,,,
HKEC.32C,32,星河型,128,85,5.0,,16.0,,元/小时,5.04,,,,,,,,,,6.0,,,
I3.2B,2,I0优化型,4,30,1.0,2.0,2.0,6.0,元/小时,0.524,0-400,,,,,,,,,,0.8384,,
I3.2C,2,I0优化型,8,30,1.0,2.0,2.0,6.0,元/小时,0.786,0-400,,,,,,,,,,1.2576,,
I3.4B,4,I0优化型,8,50,1.5,2.0,4.0,6.0,元/小时,1.048,0-800,,,,,,,,,,1.6768,,
I3.4C,4,I0优化型,16,50,1.5,2.0,4.0,6.0,元/小时,1.572,0-800,,,,,,,,,,2.5152,,
I3.4D,4,I0优化型,32,50,1.5,2.0,4.0,6.0,,,0-800,,,,,,,,,,,,
I3.8B,8,I0优化型,16,80,2.5,2.0,8.0,10.0,元/小时,2.096,0-1200,,,,,,,,,,3.3536,,
I3.8C,8,I0优化型,32,80,2.5,2.0,8.0,10.0,元/小时,3.144,0-1200,,,,,,,,,,5.0304,,
I3.8D,8,I0优化型,64,80,2.5,2.0,8.0,10.0,,,0-1200,,,,,,,,,,,,
I3.12B,12,I0优化型,24,90,4.0,2.0,12.0,15.0,元/小时,3.144,0-1600,,,,,,,,,,5.0304,,
I3.12C,12,I0优化型,48,90,4.0,2.0,12.0,15.0,元/小时,4.716,0-1600,,,,,,,,,,7.5456,,
I3.16B,16,I0优化型,32,100,5.0,2.0,16.0,20.0,元/小时,4.192,0-1800,,,,,,,,,,6.7072,,
I3.16C,16,I0优化型,64,100,5.0,2.0,16.0,20.0,元/小时,6.288,0-1800,,,,,,,,,,10.0608,,
I3.24B,24,I0优化型,48,100,7.0,4.0,16.0,20.0,元/小时,6.288,0-2400,,,,,,,,,,10.0608,,
I3.24C,24,I0优化型,96,100,7.0,4.0,16.0,20.0,元/小时,9.432,0-2400,,,,,,,,,,15.0912,,
I3.32B,32,I0优化型,64,100,8.0,5.0,16.0,20.0,元/小时,8.384,0-3000,,,,,,,,,,13.4144,,
I3.32C,32,I0优化型,128,100,8.0,5.0,16.0,20.0,元/小时,12.576,0-3000,,,,,,,,,,20.1216,,
I4.16C,16,I0优化型,64,150,6.0,1.0,16.0,20.0,,,1 × 1788,,,,,,,,,,,,
I4.32C,32,I0优化型,128,250,12.0,1.0,16.0,20.0,,,2 × 1788,,,,,,,,,,,,
I4.64C,64,I0优化型,256,500,23.0,1.0,16.0,20.0,,,4 × 1788,,,,,,,,,,,,
I6.16C,16,I0优化型,64,150,6.0,8.0,16.0,20.0,元/小时,5.27,1 × 894,,,,,,,,,,,,
I6.32C,32,I0优化型,128,300,12.0,8.0,16.0,20.0,元/小时,10.55,2 × 894,,,,,,,,,,,,
I6.64C,64,I0优化型,256,500,20.0,8.0,16.0,20.0,元/小时,21.09,4 × 894,,,,,,,,,,,,
